,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
144,"                                214,258,000                            ",                                4.03%                            ,                                SHOUGANG FUSHAN RESOURCES GROUP LIMITED                            ,                                  639                            
145,"                                455,438,423                            ",                                5.30%                            ,                                FOSUN INTERNATIONAL LIMITED                            ,                                  656                            
146,"                                186,445,000                            ",                                11.39%                            ,"                                CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.                            ",                                  658                            
147,"                                1,115,731                            ",                                0.02%                            ,                                NWS HOLDINGS LIMITED                            ,                                  659                            
148,"                                298,413,225                            ",                                5.50%                            ,                                HAITONG INTERNATIONAL SECURITIES GROUP LIMITED                            ,                                  665                            
149,"                                796,850                            ",                                0.04%                            ,                                TECHTRONIC INDUSTRIES CO. LTD.                            ,                                  669                            
150,"                                390,616,000                            ",                                8.37%                            ,                                CHINA EASTERN AIRLINES CORPORATION LIMITED                            ,                                  670                            
151,"                                1,624,200,000                            ",                                2.36%                            ,                                NAN HAI CORPORATION LIMITED                            ,                                  680                            
152,"                                2,999,000                            ",                                0.20%                            ,                                KERRY PROPERTIES LIMITED                            ,                                  683                            
153,"                                37,684,000                            ",                                0.39%                            ,                                PANDA GREEN ENERGY GROUP LIMITED                            ,                                  686                            
154,"                                1,550,000                            ",                                0.04%                            ,"                                HONG KONG INTERNATIONAL CONSTRUCTION INVESTMENT MANAGEMENT GROUP CO., LIMITED                            ",                                  687                            
155,"                                185,561,647                            ",                                1.69%                            ,                                CHINA OVERSEAS LAND & INVESTMENT LIMITED                            ,                                  688                            
156,"                                1,695,000                            ",                                0.05%                            ,                                CHINA SHANSHUI CEMENT GROUP LIMITED                            ,                                  691                            
157,"                                29,018,845                            ",                                1.53%                            ,                                BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LIMITED                            ,                                  694                            
158,"                                32,125,982                            ",                                3.44%                            ,                                TRAVELSKY TECHNOLOGY LIMITED                            ,                                  696                            
159,"                                86,168,500                            ",                                1.42%                            ,                                TONGDA GROUP HOLDINGS LIMITED                            ,                                  698                            
160,"                                108,273,000                            ",                                4.94%                            ,                                CAR INC.                            ,                                  699                            
161,"                                147,211,126                            ",                                1.54%                            ,                                TENCENT HOLDINGS LIMITED                            ,                                  700                            
162,"                                1,192,000                            ",                                0.07%                            ,                                GIORDANO INTERNATIONAL LIMITED                            ,                                  709                            
163,"                                1,092,000                            ",                                0.00%                            ,                                CHINA OCEANWIDE HOLDINGS LIMITED                            ,                                  715                            
164,"                                20,295,000                            ",                                0.38%                            ,                                TAI UNITED HOLDINGS LIMITED                            ,                                  718                            
165,"                                41,238,000                            ",                                27.49%                            ,                                SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED                            ,                                  719                            
166,"                                530,450,000                            ",                                4.83%                            ,                                CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED                            ,                                  721                            
167,"                                248,825,446                            ",                                1.79%                            ,                                CHINA TELECOM CORPORATION LIMITED                            ,                                  728                            
168,"                                740,595,000                            ",                                3.30%                            ,                                FDG ELECTRIC VEHICLES LIMITED                            ,                                  729                            
169,"                                424,438,000                            ",                                13.60%                            ,                                TRULY INTERNATIONAL HOLDINGS LIMITED                            ,                                  732                            
170,"                                50,080,500                            ",                                4.22%                            ,                                CHINA POWER CLEAN ENERGY DEVELOPMENT COMPANY LIMITED                            ,                                  735                            
171,"                                1,687,500                            ",                                0.05%                            ,                                HOPEWELL HIGHWAY INFRASTRUCTURE LIMITED -HKD TRADED SHARES                            ,                                  737                            
172,"                                128,323,521                            ",                                4.19%                            ,                                SKYWORTH DIGITAL HOLDINGS LIMITED                            ,                                  751                            
173,"                                288,032,640                            ",                                6.31%                            ,                                AIR CHINA LIMITED                            ,                                  753                            
174,"                                27,928,000                            ",                                1.25%                            ,                                HOPSON DEVELOPMENT HOLDINGS LIMITED                            ,                                  754                            
175,"                                206,031,971                            ",                                0.85%                            ,                                CHINA UNICOM (HONG KONG) LIMITED                            ,                                  762                            
176,"                                90,689,587                            ",                                12.00%                            ,                                ZTE CORPORATION                            ,                                  763                            
177,"                                46,240,000                            ",                                0.48%                            ,"                                CK LIFE SCIENCES INT'L., (HOLDINGS) INC.                            ",                                  775                            
178,"                                8,385,511                            ",                                1.56%                            ,                                NETDRAGON WEBSOFT HOLDINGS LIMITED                            ,                                  777                            
179,"                                336,060,000                            ",                                3.92%                            ,                                GLOBAL BRANDS GROUP HOLDING LIMITED                            ,                                  787                            
180,"                                101,700,767                            ",                                7.53%                            ,                                IGG INC                            ,                                  799                            
181,"                                38,508,000                            ",                                2.07%                            ,                                VALUE PARTNERS GROUP LIMITED                            ,                                  806                            
182,"                                37,533,000                            ",                                8.49%                            ,"                                XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD.                            ",                                  811                            
183,"                                10,307,000                            ",                                0.29%                            ,                                SHIMAO PROPERTY HOLDINGS LIMITED                            ,                                  813                            
184,"                                39,696,000                            ",                                1.54%                            ,                                HUADIAN FUXIN ENERGY CORPORATION LIMITED                            ,                                  816                            
185,"                                694,990,000                            ",                                6.50%                            ,                                CHINA JINMAO HOLDINGS GROUP LIMITED                            ,                                  817                            
186,"                                34,016,000                            ",                                3.01%                            ,                                TIANNENG POWER INTERNATIONAL LIMITED                            ,                                  819                            
